,Tourist_Spot,Address,Zipcode,coordinate
76,Museum at Eldridge Street Synagogue,"12 Eldridge St. Manhattan, NY 10002, Lower East Side",10002,"(40.71468720000001, -73.9934249)"
77,Museum Mile,"Fifth Avenue Manhattan, NY, Upper East Side",10128,"(40.7756891, -73.964692)"
78,Museum of American Finance,"48 Wall St. Manhattan, NY 10005, Lower Manhattan",10005,"(40.7064573, -74.00909899999999)"
79,Mystery Room NYC,"365 Seventh Ave., fl. 2N Manhattan, NY 10001, Chelsea",10001,"(40.7486107, -73.992077)"
80,National Geographic Encounter: Ocean Odyssey,"226 W. 44th St. Manhattan, NY 10036., Times Square/Theatre District",10036,"(40.7577198, -73.9872302)"
81,National Parks of New York Harbor,"Federal Hall National Memorial, 26 Wall St. Manhattan, NY 10005, Lower Manhattan",10005,"(40.7073993, -74.0102088)"
82,New York Botanical Garden,"2900 Southern Blvd. Bronx, NY 10458, Bedford Park",10458,"(40.8654894, -73.88179)"
83,New York City FC,"Yankee Stadium, 1 E. 161st St. Bronx, NY 10451, South Bronx",10451,"(40.8296426, -73.9261745)"
84,New York Giants,"MetLife Stadium East Rutherford, NJ 07073, Not in New York City",07073,"(40.8135064, -74.074457)"
85,New York Hall of Science,"47-01 111th St. Queens, NY 11368, Corona",11368,"(40.7472583, -73.8516925)"
86,New York Knicks,"Madison Square Garden, Seventh Ave. betw. 31st and 33rd Sts. Manhattan, NY 10001, Midtown West",10001,"(40.748565, -73.9885175)"
87,"New York Public Library, Stephen A. Schwarzman Building","Fifth Ave. & 42nd St. Manhattan, NY 10018, Midtown West",10018,"(40.7534887, -73.9808774)"
88,New York Rangers,"Madison Square Garden, Seventh Ave. betw. 31st and 33rd Sts. Manhattan, NY 10001, Midtown West",10001,"(40.748565, -73.9885175)"
89,New York Transit Museum,"99 Schermerhorn St. Brooklyn, NY 11201, Brooklyn Heights",11201,"(40.69057, -73.99006779999999)"
